audio_marker,site,call,segment,duration,peak_freq_start,peak_amp_start,band_width_start,quart_25_start,quart_50_start,quart_75_start,entropy_start,peak_freq_end,peak_amp_end,band_width_end,quart_25_end,quart_50_end,quart_75_end,entropy_end,peak_freq_mean,peak_amp_mean,band_width_mean,quart_25_mean,quart_50_mean,quart_75_mean,entropy_mean
3_12_a,lundy,CA,1,0.002,19800,-48.8,22500,10500,19100,20200,0.646,19500,-55.14,22800,6900,14200,19600,0.792,19800,-48.8,22500,10500,19100,20200,0.646
3_12_a,lundy,CA,2,0.002,4300,-50.26,22300,5000,12100,20000,0.74,4800,-54.82,22800,5200,13800,18700,0.85,4300,-50.26,22300,5000,12100,20000,0.74
3_12_a,lundy,CA,3,0.029,17000,-48.91,21300,9100,15100,17600,0.733,4100,-50.57,22500,5200,12300,19600,0.798,19800,-57.6,22600,7500,15900,19800,0.88
3_12_a,lundy,CA,4,0.01,6000,-47.73,22600,5200,8600,17600,0.7,5000,-50.83,22600,5200,11000,20000,0.704,4600,-51.23,22600,4800,9000,18100,0.815
3_12_a,lundy,CA,5,0.01,6000,-48.3,22600,5800,9100,17200,0.765,3500,-51.3,22600,3900,7100,18300,0.723,6000,-53.48,22800,5000,9700,18100,0.841
3_12_a,lundy,CA,6,0.016,4100,-50.45,22600,4600,11400,18300,0.746,4500,-51.23,21100,5000,11000,18900,0.761,4500,-53.85,22600,5200,11400,18700,0.848
3_12_a,lundy,CA,7,0.013,4500,-47.42,21900,4600,9100,18500,0.675,3700,-49.79,21700,3900,9100,17600,0.716,4800,-50.08,22500,4600,8800,18100,0.801
3_12_a,lundy,CA,8,0.029,15300,-50.9,22800,8200,15300,17800,0.771,5000,-50.64,22300,4500,6300,17200,0.702,4300,-57.19,22800,5200,12300,18300,0.886
3_12_a,lundy,CA,9,0.008,5200,-48.65,22300,5200,11400,18300,0.751,4800,-48.91,21900,4100,5600,17400,0.694,5000,-50.32,22500,4600,8400,17800,0.772
3_12_a,lundy,CA,10,0.013,6000,-48.25,21500,5800,9500,17600,0.733,4300,-48.96,22800,4300,7600,18100,0.686,4500,-51.03,22500,4600,8400,17800,0.787
3_12_a,lundy,CA,11,0.029,4300,-50.2,22300,4500,11400,18900,0.752,5400,-44.81,20200,5200,5800,13500,0.505,4300,-53.85,22600,4800,8400,18100,0.818
3_12_a,lundy,CA,12,0.029,4500,-47.55,22600,4800,12700,18500,0.731,5600,-49.85,20800,5200,6100,15300,0.638,3900,-55.36,22800,4800,10100,18300,0.858
3_12_a,lundy,CA,13,0.018,4100,-47.6,19300,4600,9100,17400,0.659,3500,-50.45,21900,3700,5400,15900,0.659,4600,-51.65,22600,4800,10100,17400,0.817
3_12_a,lundy,CA,14,0.01,6000,-46.82,21700,5800,9100,17000,0.67,5000,-51.03,22600,5200,11800,17400,0.773,4500,-52.4,22500,5200,9300,18000,0.833
3_12_a,lundy,CA,15,0.016,4300,-45.7,21000,4600,7600,17200,0.624,5200,-51.1,22500,4800,9300,18000,0.767,4600,-49.73,22600,4800,8400,17600,0.773
3_12_a,lundy,CA,16,0.018,13500,-47.16,21000,13500,16300,19500,0.751,5200,-51.3,22100,4800,9700,18000,0.798,4800,-52.8,22500,5200,13500,18300,0.872
