trial,observation,date,site,taxidermy,audio_start,dis_video_start,close_video_start,angle_video_start,audio_finish,dis_video_finish,close_video_finish,angle_video_finish,audio_marker,time,number_male,number_female,total_sparrows,stationary,feeding,aggressive,freeze,mobbing,hide,mating,no_sparrows_arrive,no_sparrows_leave,wild_starling,wild_corvid,wild_gull,wild_raptor,wild_pigeon,wild_goldfinch,wild_other_passerine,human_disturbance,first_reveal,taxidermy_present,open,usable_stimuli,notes
1,1,21.04.24,lundy,empty,100912,101000,,,103444,101100,,,1_1,102845,,,3,,,,,,,,,,,,10,,,,,,0,closed,0,x,"10 herring gulls flew past, camera fell over, unknown no of sparrows"
2,2,21.04.25,lundy,woodpecker,130137,130030,,,134200,134140,,,,130432,,,2,,1,,,,,,,,,,,,,,,,,,0,,bo1 moved but didn’t open
2,3,21.04.25,lundy,woodpecker,130137,130030,,,134200,134140,,,,130408,,,6,,,,,,,,,,1,,,,,,,,,,0,,scared by starling
2,4,21.04.25,lundy,woodpecker,130137,130030,,,134200,134140,,,2_4,130947,,,6,,,,,,,,,,,,,,,,,,1,woodpecker_taxidermy,1,x,"accidental releace, starlings soon returned + behaved normally infront of woodpecker"
2,5,21.04.25,lundy,woodpecker,130137,130030,,,134200,134140,,,,131717,,,10,,,1,,1,,,,,1,,,,,,,,,,1,,"lot of sparrows call in bush, 40 sec"
2,6,21.04.25,lundy,woodpecker,130137,130030,,,134200,134140,,,,132647,,,3,,1,,,,,,,,,,,,,,,,,,1,,"3 feeding in guttering, no predator nearby"
2,7,21.04.25,lundy,woodpecker,130137,130030,,,134200,134140,,,2_7,132907,,,7,1,,1,,1,,,7,,3,2,,,,,,,0,woodpecker_taxidermy,1,x,"male call from roof (ravens flew over), other sparrows arrived, also attracted starlings"
2,8,21.04.25,lundy,woodpecker,130137,130030,,,134200,134140,,,,133037,,,7,,,1,,1,,,,,1,,,,,,,,,,1,,"scared by nesting starling, called but stayed"
2,9,21.04.25,lundy,woodpecker,130137,130030,,,134200,134140,,,2_9,133207,,,7,,,,1,,,,,,,2,,,,,,,0,woodpecker_taxidermy,1,x,"2 rooks flew over, freezing behaviour?"
2,10,21.04.25,lundy,woodpecker,130137,130030,,,134200,134140,,,,133613,,,7,,,,,,,,,5,,,,,,,,,,,1,,"distant sparrow calling, few flew towards it"
2,11,21.04.25,lundy,woodpecker,130137,130030,,,134200,134140,,,2_11,133737,,,2,,,,,,,,,,1,,,,,,,,0,woodpecker_taxidermy,1,x,"scared by starling, flew into bush"
