filename,duration,added,record_date,sex,species,quality,individual,track,sequence,site,note
11_107_a,20960,04/06/2024,,,,GOOD,345806,345806,"""CC""-""CC""-""CC""-""DW""-""CC""-""HQ""-""HQ""-""DW""",lundy,
11_107_b,23996,04/06/2024,,,,GOOD,345807,345807,"""CC""-""CC""-""CC""-""CC""-""CC""-""CC""-""CC""-""CC""-""CC""-""CC""-""CC""-""CC""-""CC""-""CC""-""CC""-""CC""-""CC""-""CC""-""CC""-""CC""-""CC""-""CC""-""CC""",lundy,
11_115_a,18984,04/06/2024,,,,GOOD,345808,345808,"""HQ""-""CA""-""CA""",lundy,
11_115_b,25992,04/06/2024,,,,GOOD,345809,345809,"""NC""-""NC""-""NC""-""NC""-""NC""-""NC""-""NC""-""NC""-""NC""-""NC""-""NC""",lundy,
11_118_a,19053,04/06/2024,,,,GOOD,345810,345810,"""CC""-""CC""-""CC""-""CC""-""CC""-""CC""-""CC""-""CA""-""CC""-""CA""-""CC""-""CA""-""CC""-""CA""-""CC""",lundy,
11_118_b,25992,04/06/2024,,,,GOOD,345811,345811,"""CC""-""CC""-""CC""-""CC""-""CC""-""CC""-""CC""-""CC""-""CC""-""CC""",lundy,
12_126_a,18984,04/06/2024,,,,GOOD,345818,345818,"""CA""-""CC""",lundy,
12_126_b,26036,04/06/2024,,,,GOOD,345819,345819,"""TQ""-""TQ""-""TQ""-""TQ""",lundy,
13_150_a,24065,04/06/2024,,,,GOOD,345832,345832,"""CC""-""CC""-""CC""-""_CC_""-""CC""-""_CC_""-""_CC_""-""CA""-""_CC_""-""HQ""-""CC""-""CC""-""DW""",lundy,
13_150_b,20980,04/06/2024,,,,GOOD,345833,345833,"""CC""-""CC""-""CC""-""DW""-""CC""-""CC""-""CC""-""DW""",lundy,
13_151_a,22054,04/06/2024,,,,GOOD,345834,345834,"""CC""-""CC""-""CC""-""CC""-""CC""-""CC""-""CC""-""CC""-""CC""-""CC""-""CC""-""CC""-""CC""-""CC""-""CC""-""CC""-""CC""-""CC""-""CC""-""CC""-""CC""",lundy,
